wavelength[nm], transmission
556.0, 0.0
558.985200845666, 0.7378585458743743
560.676532769556, 15.346588097701414
563.2135306553912, 79.88379590061926
565.7505285412262, 96.9032732070832
569.1331923890064, 98.03562592775855
580.9725158562368, 98.02722924444845
593.6575052854123, 97.87638882641357
597.8858350951374, 97.73154603931448
608.8794926004229, 98.14928103399157
616.4904862579281, 98.00203919451818
628.3298097251586, 98.5610183977329
640.169133192389, 97.84340185626678
651.1627906976744, 97.97744890768146
660.4651162790698, 98.53822740017694
668.0761099365751, 97.39807775928509
675.6871035940803, 98.10189974959891
681.6067653276955, 97.95585743631266
689.2177589852008, 74.40436027769032
695.9830866807611, 2.6265125275516112
699.3657505285412, 1.2056737588652453
703.0, 0.0
